queue_key,service_type,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,gap_status,confidence_bucket,current_status,current_url,provenance,attempted_methods_count,review_reason,recommended_action,suggested_search_query,missing_mv_allowlist,mv_allowlist_urls
23ab70c9-35ab-5cbe-83c6-7faf1da33ce1:youtube_mv,youtube_mv,ATEEZ,ateez,group,core,tier_1,true,latest,historical,TREASURE EP.3 : One to All,2019-06-10,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,ATEEZ TREASURE EP.3 : One to All official mv,false,https://www.youtube.com/channel/UC2e4Ukj5Pfr7cb3KpJAFBdQ
686f604f-ef9a-5c7c-8da8-84129fb3e51d:youtube_mv,youtube_mv,NCT DREAM,nct-dream,unit,core,tier_1,true,historical,historical,Don't Need Your Love,2019-06-06,2019,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,NCT DREAM Don't Need Your Love official mv,false,https://www.youtube.com/channel/UCXURHJRGr4-EB3l87kcbElw | https://www.youtube.com/@SMTOWN
b1493d3b-58ca-55a3-900d-b9a662c3fcb5:youtube_mv,youtube_mv,ONEUS,oneus,group,longtail,tier_1,true,latest,historical,RAISE US,2019-05-30,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,ONEUS RAISE US official mv,false,https://www.youtube.com/channel/UCWTYf4xModfNsyq2NUYjF5g
1261cc21-9ec5-5d5a-b14c-2357b3509740:youtube_mv,youtube_mv,Red Velvet,red-velvet,group,core,tier_1,true,historical,historical,SAPPY,2019-05-29,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,Red Velvet SAPPY official mv,false,https://www.youtube.com/channel/UCk9GmdlDTBfgGRb7vXeRMoQ
fe35a374-b99b-5922-9b06-44935b75d2c2:youtube_mv,youtube_mv,SEVENTEEN,seventeen,group,core,tier_1,true,historical,historical,Happy Ending,2019-05-29,2019,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,SEVENTEEN Happy Ending official mv,false,https://www.youtube.com/channel/UC0gpUnoyhu44aS3-NxYs7rg | https://www.youtube.com/@HYBELABELS | https://www.youtube.com/channel/UCfkXDY7vwkcJ8ddFGz8KusA
8d4b86dd-54e1-5501-8ca5-923846c5ed6d:youtube_mv,youtube_mv,AB6IX,ab6ix,group,longtail,tier_1,true,latest,historical,B:COMPLETE,2019-05-22,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,AB6IX B:COMPLETE official mv,false,https://www.youtube.com/channel/UCwytna6i1rFCt13a3Qvuk-A
3faaa94a-507f-51a5-abd4-bbdaaa113a86:youtube_mv,youtube_mv,SEVENTEEN,seventeen,group,core,tier_1,true,historical,historical,A‐TEEN2 Part.2,2019-05-19,2019,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,SEVENTEEN 9-TEEN official mv,false,https://www.youtube.com/channel/UC0gpUnoyhu44aS3-NxYs7rg | https://www.youtube.com/@HYBELABELS | https://www.youtube.com/channel/UCfkXDY7vwkcJ8ddFGz8KusA
df1af0ad-bb8b-521b-838c-4f037e951141:youtube_mv,youtube_mv,TOMORROW X TOGETHER,tomorrow-x-together,group,core,tier_1,true,latest,historical,Cat & Dog,2019-05-03,2019,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,TOMORROW X TOGETHER Cat & Dog (English Version) official mv,false,https://www.youtube.com/channel/UCtiObj3CsEAdNU6ZPWDsddQ | https://www.youtube.com/@HYBELABELS
19b8eef9-d4f8-5835-81a8-d1de2b734742:youtube_mv,youtube_mv,Red Velvet,red-velvet,group,core,tier_1,true,historical,historical,Power Up,2019-04-24,2019,song,single,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,Red Velvet Power Up official mv,false,https://www.youtube.com/channel/UCk9GmdlDTBfgGRb7vXeRMoQ
9621c2cd-467a-5719-83da-f1bd4050f36a:youtube_mv,youtube_mv,Stray Kids,stray-kids,group,core,tier_1,true,historical,historical,Clé 1 : MIROH,2019-03-25,2019,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,Stray Kids MIROH official mv,false,https://www.youtube.com/channel/UC9rMiEjNaCSsebs31MRDCRA | https://www.youtube.com/@JYPEntertainment
