queue_key,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,title_track_status,candidate_title_count,double_title_candidate,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
75b15f99-71f6-50f2-8f31-33c1ef694fa6,QWER,qwer,group,core,tier_1,true,latest,latest,"In a million noises, I’ll be your harmony",2025-06-09,2025,album,ep,review_needed,0,false,눈물참기 | 행복해져라 | 검색어는 QWER | OVERDRIVE | D‐Day | Yours Sincerely,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
347ac8b2-0149-53b6-a115-ca80e3687b57,KickFlip,kickflip,group,core,tier_1,true,latest,latest,"Kick Out, Flip Now!",2025-05-26,2025,album,ep,review_needed,0,false,FREEZE | Skip It! | Before the Sun Explodes | Electricity | Complicated!! | Code Red | How We KickFlip,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
e63ef4a9-5020-57ee-988f-13491f592125,SEVENTEEN,seventeen,group,core,tier_1,true,latest,latest,HAPPY BURSTDAY,2025-05-26,2025,album,album,review_needed,0,false,HBD | THUNDER | Bad Influence | Skyfall (THE 8 Solo) | Fortunate Change (JOSHUA Solo) | 99.9% (WONWOO Solo) | Raindrops (SEUNGKWAN Solo) | Damage (HOSHI Solo) | Shake It Off (MINGYU Solo) | Happy Virus (DK Solo) | Destiny (WOOZI Solo) | Shining Star (Vernon Solo) | Gemini (JUN Solo) | Trigger (DINO Solo) | Coincidence (JEONGHAN Solo) | Jungle (S.COUPS Solo),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
0dc9e8df-abee-54dd-b867-c91cdd1ff4b3,(G)I-DLE,g-i-dle,group,core,tier_1,true,latest,latest,We are,2025-05-19,2025,album,ep,review_needed,0,false,Good Thing | Girlfriend | Love Tease | Chain | Unstoppable | 그래도 돼요,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
9ea2536b-fe9b-56b2-89ef-6c8b525aa717,BOYNEXTDOOR,boynextdoor,group,core,tier_1,true,latest,latest,No Genre,2025-05-13,2025,album,ep,review_needed,0,false,"123-78 | I Feel Good | Step By Step | Is That True? | Next Mistake | IF I SAY, I LOVE YOU | I Feel Good (English ver.)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
5fe77dc2-9727-5f88-af4f-fcd1ae66c6c7,tripleS,triples,group,core,tier_1,true,latest,latest,<ASSEMBLE25>,2025-05-12,2025,album,album,review_needed,0,false,@% (Alpha Percent) | 깨어 (Are You Alive) | 추리소설 (Detective Soseol) | 어제 우리 불꽃놀이 (Firework Diary) | Love Child | Persona | Too Hot | Diablo | Friend Zone | Love2Love,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
7e2b26f4-779a-5056-b089-c6e5be090c61,KISS OF LIFE,kiss-of-life,group,core,tier_1,true,latest,latest,KISS ROAD,2025-05-07,2025,song,single,review_needed,0,false,"Live, Love, Laugh | W.House | Live, Love, Laugh (inst.)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
1a264fd3-ae8d-51a5-8a8f-1d86ae167af3,TWS,tws,group,core,tier_1,true,latest,latest,TRY WITH US,2025-04-21,2025,album,ep,review_needed,0,false,Lucky to be loved | Countdown! | Random Play | Freestyle | Now Playing | GO BACK,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
df8499fe-20a3-5199-90e0-5a11a9cbd230,ifeye,ifeye,group,core,tier_1,true,latest,latest,ERLU BLUE,2025-04-08,2025,album,ep,review_needed,0,false,NERDY | IRL | BUBBLE UP | NERDY (English version),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
9a9e48fc-d5d3-513a-8038-d93cdc034bf2,xikers,xikers,group,core,tier_1,true,latest,latest,HOUSE OF TRICKY : SPUR,2025-04-04,2025,album,ep,review_needed,0,false,You Hide We Seek | BREATHE | HIGHWAY | Roller Coaster | Rock Your Body,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
f3d44427-6df8-5ddf-ad5a-0a22f33fbe67,Xdinary Heroes,xdinary-heroes,group,core,tier_1,true,latest,latest,Beautiful Mind,2025-03-24,2025,album,ep,review_needed,0,false,FIGHT ME | Beautiful Life | more than i like | Diamond | Supernatural | George the Lobster | BBB (Bitter but Better),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
b3b98050-73f3-5656-ba68-b3090a4be4a7,Stray Kids,stray-kids,group,core,tier_1,true,latest,latest,Mixtape : dominATE,2025-03-21,2025,album,ep,review_needed,0,false,GIANT (Korean ver.) | Burnin’ Tires | Truman | ESCAPE | CINEMA,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
bf725d92-1872-5cd3-bbd2-525ef30d7bef,STAYC,stayc,group,core,tier_1,true,latest,latest,S,2025-03-18,2025,song,single,review_needed,0,false,BEBE | DIAMOND | PIPE DOWN,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
759099a5-8ad6-5b3f-aa70-cb13379d61fc,THE BOYZ,the-boyz,group,core,tier_1,true,latest,latest,Unexpected,2025-03-17,2025,album,album,review_needed,0,false,Feel The Bass | VVV | Starry Night | Ain’t Salty | Rose | Rock and Roll | Nothing | Miss Demeanor | Cross Over,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
990614db-77ec-5af0-a6c8-27e5f30f05ac,PLAVE,plave,group,core,tier_1,true,latest,recent,’Caligo Pt.1’,2025-02-03,2025,album,ep,review_needed,0,false,Chroma Drift | Dash | RIZZ | Island | 12:32 (A to T),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
b9241fb9-aa72-5ef6-9716-f4d75e56d907,KickFlip,kickflip,group,core,tier_1,true,latest,recent,"Flip it, Kick it!",2025-01-20,2025,album,ep,review_needed,0,false,Mama Said (뭐가 되려고?) | 응 그래 | WARRIORS | Knock Knock | Like a Monster | See You on Tomorrow,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
bab45eeb-813f-598c-9d85-36e7974e2da9,ONEUS,oneus,group,longtail,tier_1,true,latest,recent,Dear.M,2025-01-14,2025,album,album,review_needed,0,false,IKUK | We Are Young | DEVILISH LOVE | W | Rupert's drop | Valkyrie (Penta ver.) | Twilight (Penta ver.) | LIT (Penta ver.) | A Song Written Easily (Penta ver.) | TO BE OR NOT TO BE (Penta ver.) | BBUSYEO (Penta ver.) | No diggity (Penta ver.) | BLACK MIRROR (Penta ver.) | Life is Beautiful (Penta ver.) | LUNA (Penta ver.) | Bring it on (Penta ver.) | Same Scent (Penta ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
