group,release_title,release_date,stream,release_kind,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
CLOSE YOUR EYES,ETERNALT,2025-04-02,album,ep,Close Your Eyes ; 너를 담은 이 영화에 나의 가사가 자막이 돼 ; 내 안의 모든 시와 소설은 ; 빗속에서 춤추는 법 ; 못 본 척 ; To the Woods ; Stay 4 Good ; 사과가 하늘로 떨어진 날,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CLOSE YOUR EYES,blackout,2025-11-11,album,ep,X ; SOB ; CHIC ; 2.0 ; Who’s Dat? (Jane Doe) ; X (english ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CRAVITY,EVERSHINE,2024-02-26,album,ep,C’est La Vie ; Love or Die ; Cherry Blossom ; Mr. ; Worst Thriller ; Over & Over,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CRAVITY,FIND THE ORBIT,2024-12-05,song,single,Now or Never ; Secret ; Horizon,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
CRAVITY,Dare to Crave,2025-06-23,album,album,"On My Way ; SWISH ; SET NET G0?! ; Rendez‐vous ; PARANOIA ; Straight Up to Heaven (Sung by JUNGMO, WOOBIN, SEONGMIN) ; Stadium (Sung by ALLEN, WONJIN, HYEONGJUN) ; Marionette (Sung by SERIM, MINHEE, TAEYOUNG) ; Underdog ; Click, Flash, Pow ; Love Me Again ; Wish Upon a Star",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DAY6,Fourever,2024-03-18,album,ep,Welcome to the Show ; HAPPY ; The Power of Love ; Get the Hell Out ; Sad Ending ; Let Me Love You ; didn't know,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DAY6,"Psycho, Loveholic [THE SEASONS: Red Carpet with Lee Hyo Ri]",2024-03-31,album,ep,Psycho ; Loveholic ; Psycho (instrumental) ; Loveholic (instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DAY6,Band Aid,2024-09-02,album,ep,괴물 ; 녹아내려요 ; 그녀가 웃었다 ; 망겜 ; 도와줘요 Rock&Roll ; COUNTER ; I’m Fine ; 아직 거기 살아,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DAY6,The DECADE,2025-09-05,album,album,꿈의 버스 ; INSIDE OUT ; 해야 뜨지 말아 줘 ; Disco Day ; My Way ; 별들 앞에서 ; Take All My Heart ; 날아라! 드림라이더 ; 드디어 끝나갑니다 ; 우리의 계절,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DKB,REBEL,2023-04-13,album,album,Sober - Japanese ver. ; Sober - Korean ver. ; Get Away ; Rollercoaster ; Sober - Japanese ver. - Remix ; Work Hard - Japanese ver. ; Still - Japanese ver.,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DKB,HIP,2023-11-30,album,ep,"Ghost Ridah (Wow Wow) ; What The Hell ; Me, Me & You ; Slush ; Fireworks",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DKB,Urban Ride,2024-07-17,album,ep,Star ; Flirting X ; TAEKWONDO ; Traveler ; LET’S DANCE,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DKB,Emotion,2025-10-23,album,ep,"Irony ; Snake ; Weekend ; Cinderella ; Hello, Goodbye (Rollercoaster)",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Dreamcatcher,[Apocalypse : From us],2023-05-24,album,ep,Intro : From us ; BONVOYAGE ; DEMIAN ; Propose ; To. You,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Dreamcatcher,[VillainS],2023-11-22,album,ep,Intro : This My Fashion ; OOTD ; Rising ; Shatter ; We Are Young,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
Dreamcatcher,[VirtuouS],2024-07-10,album,ep,Intro : 7’ Dreamcatcher ; JUSTICE ; STΦMP! ; 2 Rings ; Fireflies,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DXMON,HYPERSPACE 911,2024-05-14,song,single,"Girls, Love boys, Love girls ; Vitamin You ; Feel The Vxbe",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
DXMON,Youth Never DIE,2024-10-21,song,single,Zip Zip Zip ; Heart Balloon ; Zip Zip Zip (instrumental),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ENHYPEN,DARK BLOOD,2023-05-22,album,ep,Fate ; Bite Me ; Sacrifice (Eat Me Up) ; Chaconne ; Bills ; Karma,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ENHYPEN,結 -YOU-,2023-08-02,song,single,Bite Me (Japanese ver.) ; Bills (Japanese ver.) ; BLOSSOM,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ENHYPEN,ORANGE BLOOD,2023-11-17,album,ep,Mortal ; Sweet Venom ; Still Monster ; 멀어 ; Orange Flower (You Complete Me) ; Sweet Venom (English ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
ENHYPEN,MEMORABILIA,2024-05-13,album,ep,One In A Billion ; CRIMINAL LOVE ; Fatal Trouble ; Teeth ; Lucifer ; Scream,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
EPEX,Prelude of Love Chapter 2. ‘Growing Pains’,2023-04-26,album,ep,"My Darling ; Sunshower ; Goodbye, My First Love ; SKYLINE",,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
EPEX,Youth Chapter 2 : YOUTH DEFICIENCY,2024-11-05,album,album,UNIVERSE ; My Girl ; 1997 ; It is what it is ; Attosecond ; Wonderful ; Closer ; Loner,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
EPEX,Youth Chapter 3 : ROMANTIC YOUTH,2025-07-28,album,album,Waffle ; Bang ; Picasso ; Grateful to Tears ; Dances with Wolves ; Morning to midnight ; Whale fall ; Pluto,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
EVNNE,Target: ME,2023-09-19,album,ep,TROUBLE ; Role Model ; Pretty Thing ; Your Text ; JUKEBOX ; Even More,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
EVNNE,Un: SEEN,2024-01-22,album,ep,UGLY ; SYRUP ; K.O. (Keep On) ; Chase ; Festa,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
EVNNE,RIDE or DIE,2024-06-17,album,ep,Badder Love ; I <3 U (I love U) ; XO ; 2배속 (2X) ; Boom Bari ; Badder Love (English ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
EVNNE,LOVE ANECDOTE(S),2025-08-04,album,ep,dirtybop ; How Can I Do ; Mako ; love chat ; PUT IT ON ME ; Newest,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
